Accidente colective de munca pe activitati economice CAEN Rev.1,ACC101A
Tinta 5 - Social - Cheltuieli de la bugetul de stat si cheltuieli de la bugetul local pentru ordine publica si siguranta nationala,TSK1651
"Tinta 5 - Social - NUMARUL PERSOANELOR CONDAMNATE DEFINITIV PENTRU FRAUDE FINANCIARE, SPALAREA BANILOR SI EVAZIUNE FISCALA, FAPTE CARE IMPLICA ARME, EXPLOZIVI SI ALTE MATERIALE DISTRUCTIVE SI PENTRU FAPTE LEGATE DE UN GRUP INFRACTIONAL ORGANIZAT, DUPA TIPUL INFRACTIUNII",TSM1653
"Tinta 5 - Social - Numarul hotararilor judecatoresti prin care s-au dispus masuri privind amenda penala, confiscarea produsului infractiunii si/sau repararea prejudiciilor",TSN1654
Tinta 5 - Social - SUMELE DE BANI DISPUSE PRIN HOTARARI JUDECATORESTI PENTRU RECUPERAREA CREANTELOR PROVENITE DIN INFRACTIUNI SI/SAU RECUPERAREA PREJUDICIILOR,TSP1656
Tinta 6 - Social - Proportia locurilor detinute de femei si barbati in parlamentele nationale,TSS1661
Tinta 7 - Mediu - PONDEREA INTREPRINDERILOR CARE AU INTERACTIONAT ON-LINE CU ADMINISTRATIA PUBLICA IN TOTALUL INTREPRINDERILOR,TSV1671
"Tinta 7 - Mediu - Ponderea persoanelor care au transmis prin internet formulare completate la autoritatile publice, in ultimele 12 luni",TSW1672
"Tinta 7 - Mediu - Ponderea persoanelor care au interactionat prin internet cu autoritatile publice, in ultimele 12 luni",TSX1673
"Tinta 8 - Economic - INVESTITII IN PRODUSE HARDWARE SI SOFTWARE LA 1000 INVESTITII TOTALE IN PRODUSE SI SERVICII TIC, IN ADMINISTRATIA PUBLICA",TSY1681
Tinta 8 - Social - Numarul persoanelor condamnate definitiv pentru infractiuni de coruptie si de serviciu,TSZ1682
"Tinta 8 - Mediu - Ponderea persoanelor care au transmis prin internet formulare completate la autoritatile publice, in ultimele 12 luni",TTB1684
"Tinta 8 - Mediu - Ponderea persoanelor care au interactionat prin internet cu autoritatile publice, in ultimele 12 luni",TTC1685
"Tinta 1 - Economic - Ponderea intreprinderilor inovatoare cu acorduri de cooperare cu parteneri situati in afara tarii, in total intreprinderi",TTE1711
"Tinta 1 - Economic - ASISTENTA OFICIALA NETA PENTRU DEZVOLTARE (AOD), TOTALA SI IN TARILE SLAB DEZVOLTATE, CA O PROPORTIE DIN VENITUL NATIONAL BRUT (VNB)",TTF1712
"Tinta 2 - Economic - Asistenta oficiala neta pentru dezvoltare (AOD), totala si in tarile slab dezvoltate, ca o proportie din Venitul National Brut (VNB)",TTI1721
Tinta 2 - Economic - VALOAREA IMPORTULUI DE BUNURI SI A INVESTITIILOR STRAINE DIRECTE,TTJ1722
Tinta 2 - Economic - Ponderea valorii importurilor de bunuri si servicii din tarile slab dezvoltate in valoarea totala a importurilor Romaniei,TTK1723
Tinta 2 - Economic - Valoarea exportului de produse High Tech,TTL1724
Tinta 3 - Economic - RATA MEDIE LUNARA A INFLATIEI PE CATEGORII DE MARFURI SI SERVICII,TTN1731
Tinta 3 - Social - Numarul centrelor de preluare a imigrantilor solicitanti de protectie si date privind capacitatea acestora,TTP1733
Tinta 4 - Social - Numarul tarilor in care s-au predat cursuri de cultura si civilizatie romaneasca si numarul persoanelor care au beneficiat,TTT1741
"Tinta 4 - Economic - VALOAREA EXPORTULUI SI IMPORTULUI DE BUNURI, DUPA NATURA CAPITALULUI COMPANIILOR",TTV1743
Structuri de primire turistica cu functiuni de cazare turistica pe tipuri de structuri si forme de proprietate,TUR101A
"Structuri de primire turistica cu functiuni de cazare turistica pe tipuri de structuri, categorii de confort  si destinatii turistice",TUR101B
"Structuri de primire turistica cu functiuni de cazare turistica pe tipuri de structuri, judete si localitati",TUR101C
"Structuri de primire turistica cu functiuni de cazare turistica pe tipuri de structuri, pe macroregiuni, regiuni de dezvoltare si judete",TUR101D
Capacitatea de cazare turistica existenta pe tipuri de structuri de cazare turistica si forme de proprietate,TUR102A
"Capacitatea de cazare turistica existenta pe tipuri de structuri de cazare turistica, categorii de confort si destinatii turistice",TUR102B
"Capacitatea de cazare turistica existenta pe tipuri de structuri de primire turistica, judete si localitati",TUR102C
"Capacitatea de cazare turistica existenta pe tipuri de structuri de primire turistica, macroregiuni, regiuni de dezvoltare si judete",TUR102D
Capacitatea de cazare turistica in functiune pe tipuri de structuri de primire turistica pe forme de proprietate,TUR103A
"Capacitatea de cazare turistica in functiune pe tipuri de structuri de primire turistica pe macroregiuni, regiuni de dezvoltare si judete",TUR103B
"Capacitatea de cazare turistica in functiune pe tipuri de structuri de primire turistica, categorii de confort  si destinatii turistice",TUR103C
"Capacitatea de cazare turistica in functiune pe tipuri de structuri de primire turistica, judete si localitati",TUR103D
"Capacitatea de cazare turistica lunara in functiune pe tipuri de structuri de primire turistica pe macroregiuni, regiuni de dezvoltare si judete
",TUR103E
"Capacitatea de cazare turistica lunara in functiune pe tipuri de structuri de primire turistica, judete si localitati",TUR103F
"Sosiri ale turistilor in structuri de primire turistica cu functiuni de cazare turistica, pe tipuri de structuri si forme de proprietate
",TUR104A
"Sosiri ale turistilor in structuri de primire turistica cu functiuni de cazare turistica, pe tipuri de structuri, tipuri de turisti, pe macroregiuni, regiuni de dezvoltare si judete",TUR104B
"Sosiri ale turistilor in structuri de primire turistica cu functiuni de cazare turistica, dupa destinatii turistice pe tipuri de turisti",TUR104C
"Sosiri ale turistilor in structuri de primire turistica cu functiuni de cazare turistica, categorii de confort  si tipuri de turisti",TUR104D
"Sosiri ale turistilor in structuri de primire turistica pe tipuri de structuri, pe judete si localitati",TUR104E
"Sosiri ale turistilor in structuri de primire turistica cu functiuni de cazare turistica, pe tipuri de structuri, tipuri de turisti, pe macroregiuni, regiuni de dezvoltare si judete, pe luni",TUR104F
"Sosiri ale turistilor in structuri de primire turistica cu functiuni de cazare turistica, categorii de confort si tipuri de turisti, pe luni",TUR104G
"Sosiri ale turistilor in structuri de primire turistica pe tipuri de structuri, pe judete si localitati, pe luni",TUR104H
"Innoptari in structuri de primire turistica, pe tipuri de structuri si forme de proprietate",TUR105A
"Innoptari in structuri de primire turistica pe tipuri de structuri, categorii de confort si tipuri de turisti",TUR105B
Innoptari in structuri de cazare turistica pe destinatii turistice si tipuri de turisti,TUR105C
"Innoptari in structuri de primire turistica pe tipuri de structuri, tipuri de turisti, macroregiuni, regiuni de dezvoltare si judete",TUR105D
" Innoptari in structuri de primire turistica pe tipuri de structuri, judete si localitati",TUR105E
"Innoptari in structuri de primire turistica pe tipuri de structuri, categorii de confort si tipuri de turisti, pe luni",TUR105F
"Innoptari in structuri de primire turistica pe tipuri de structuri, tipuri de turisti, macroregiuni, regiuni de devoltare si judete, pe luni",TUR105G
"Innoptari in structuri de primire turistica pe tipuri de structuri, judete si localitati, pe luni",TUR105H
Indicele de utilizare neta a capacitatii de cazare turistica in functiune pe tipuri de structuri de primire turistica si forme de proprietate,TUR106A
Indicele de utilizare neta a capacitatii de cazare turistica in functiune pe tipuri de structuri de primire turistica si pe categorii de confort,TUR106B
"Indicele de utilizare neta a capacitatii de cazare turistica in functiune pe tipuri de structuri de primire turistica si pe categorii de confort, pe luni",TUR106C
"Indicele de utilizare neta a capacitatii de cazare turistica in functiune, pe tipuri de structuri de primire turistica, macroregiuni, regiuni de devoltare si judete, pe luni",TUR106D
Sosiri ale vizitatorilor straini in Romania dupa categoriile de mijloace de transport utilizate de turisti,TUR107A
Sosiri ale vizitatorilor straini in Romania pe continente si tari de origine,TUR107C
Plecari ale vizitatorilor romani in strainatate dupa categoriile de mijloace de transport utilizate,TUR108A
Numarul turistilor participanti la actiunile turistice organizate de agentiile de turism pe activitati de turism,TUR109A
"Numarul turistilor romani participanti la actiunile turistice interne organizate de agentiile de turism, pe zone turistice",TUR109B
"Numarul turistilor romani participanti la actiunile turistice externe organizate de agentiile de turism, pe tari de destinatie",TUR109C
"Turismul organizat de agentiile de turism, pe actiuni turistice si zone turistice",TUR109D
Orizont 1 - Social - Cheltuielile cu prestatiile sociale pe functii de protectie sociala (ESSPROS),ZAA0111
"Orizont 1 - Mediu - Emisii de gaze cu efect de sera, pe activitati CAEN Rev.2",ZAB1311
"Orizont1-Social-Standardul minim de cost pentru serviciile sociale, aprobat la nivel national, pe grupuri vulnerabile",ZAC0113
"Orizont 2 - Social - Rata riscului de saracie sau excluziune sociala (AROPE), dupa statutul ocupational",ZAD0121
"Orizont 2 - Social - Rata riscului de saracie sau excluziune sociala (AROPE), pe regiuni de dezvoltare",ZAE0122
"Orizont 2 - Social - Rata riscului de saracie sau excluziune sociala (AROPE), pe sexe si grupe de varsta",ZAF0123
Orizont 1 - Mediu - Emisiile medii de CO2/km care provin de la autoturisme noi,ZAG1312
"Orizont 3 - Social - Persoane descurajate in a mai gasi un loc de munca, pe grupe de varsta si medii de rezidenta",ZAH0131
Orizont 3 - Social - Persoane descurajate in a mai gasi un loc de munca pe grupe de varsta si sexe,ZAI0132
"Orizont 3-Social-Persoane aflate in risc de saracie sau excluziune sociala, pe sexe",ZAJ0133
Orizont 1 - Economic - Valoarea productiei de fructe si legume,ZAK0211
Orizont 2 - Economic - Dinamica amenajarilor de imbunatatirii funciare - Irigatii,ZAL0221
Orizont 3 - Economic - Alocarea bugetara a sumelor pentru activitatea de cercetare-dezvoltare in agricultura,ZAM0221
"Orizont 3-Economic-Cheltuieli din sectorul mediului de afaceri pentru activitatea de cercetare-dezvoltare din agricultura, pe surse de finantare",ZAN0222
Orizont 3 - Economic - Intensitatea comerciala la carne si produse din carne,ZAO0223
Orizont 4 - Economic - Numarul de produse agricole si alimentare recunoscute la nivel european,ZAP0221
Orizont 4 - Economic - Produse atestate traditional,ZAQ0222
Orizont 5 - Economic - Valoarea investitiilor destinate sprijinului pentru instalarea tinerilor fermieri,ZAR0221
Orizont 6 - Economic - Suprafata agricola utilizata cultivata ecologic,ZAS0221
Orizont 6 - Economic - Numarul total de operatori certificati in agricultura ecologica,ZAT0222
Orizont 8 - Mediu - Ponderea suprafetei agricole ecologice in suprafata agricola totala pe CEPA 4,ZAU0231
"Orizont 8 - Mediu - Suprafata terenurilor amenajate cu lucrari de ameliorare si combatere a eroziunii solului, pe categorii de folosinta a terenurilor",ZAV0232
 Orizont 1 - Social - Ponderea cheltuielilor curente pentru preventie in totalul cheltuielilor curente de sanatate,ZAW0311
"Orizont 1-Social-Speranta de viata sanatoasa la nastere, pe sexe",ZAX0312
Orizont 2 - Social - Persoane adulte ingrijite in centre de asistenta speciala ale Autoritatii Nationale pentru Persoanele cu Dizabilitati (ANPO),ZAY0321
"Orizont 2 - Social - Institutii de asistenta sociala pentru persoanele adulte cu dizabilitati, la sfarsitul anului",ZAZ0322
"Orizont 3 - Social - Numarul paturilor de spital pentru internare continua din Romania care revin, in medie, la 1000 locuitori",ZBA0331
Orizont 3 - Social - Nivelul investitiilor nete in domeniul sanatate si asistenta sociala,ZBB0332
"Orizont 4 - Social - Ponderea nasterilor cu asistenta la nastere, pe medii de rezidenta",ZBC0331
Orizont 5 - Social - Procentul femeilor cu varste cuprinse intre  25-64 ani care au beneficiat de screening pentru cancer cervical in cadrul Programelor Nationale de Sanatate,ZBD0331
"Orizont 5 - Social - Incidenta tuberculozei, hepatitei virale si sifilisului",ZBE0332
"Orizont 5 - Social - Incidenta SIDA, pe sexe",ZBF0333
"Orizont 7 - Economic - Importul de provitamine si vitamine, naturale sau obtinute prin sinteza",ZBG0331
"Orizont 1 - Social - Populatia inactiva ca urmare a desfasurarii responsabilitatilor familiale, pe sexe, ca procent din populatia inactiva de varsta 20-64 de ani",ZBH0511
"Orizont 1 - Social - Gradul de cuprindere in invatamant a populatiei de varsta scolara, pe sexe",ZBI0411
"Orizont 1 - Social - Proportia copiilor si tinerilor la finalul invatamatului secundar inferior, care inregistreaza nivelul minim de competente in citire si matematica, pe sexe (PISA nivel 2)",ZBJ0412
"Orizont 2 - Social - Numarul atelierelor scolare, pe niveluri de educatie",ZBK0411
"Orizont 3 - Social - Gradul de participare la procesul educational sau de instruire al persoanelor de 25-64 ani, pe sexe",ZBL0421
"Orizont 3 - Social - Sali de clasa (cabinete scolare/amfiteatre), pe niveluri de educatie",ZBM0422
"Orizont 4 - Social - Gradul de participare la procesul educational sau de instruire al persoanelor de 25-64 ani, pe sexe",ZBN0421
Orizont 1 - Social - Proportia femeilor in posturi de conducere,ZBO0512
"Orizont 4 - Social - Rata de parasire timpurie a sistemului educational de catre tineri (18-24 ani), pe sexe",ZBP0531
"Orizont 4 - Social - Rata de parasire timpurie a sistemului educational de catre tineri (18-24 ani), pe medii de rezidenta",ZBQ0532
Orizont 5 - Social - Numarul infractiunilor de viol (solutionate/ declinate Parchetului),ZBR0531
Orizont 3 - Social - Populatia conectata la sistemul public de alimentare cu apa,ZBS0611
Orizont 3 - Mediu - Populatia conectata la canalizare,ZBT0612
"Orizont 3 - Social - Ponderea persoanelor care nu au nici baie, nici dus si nici grup sanitar in locuinta, dupa statutul de saracie",ZBU0613
Orizont 3 - Economic - Comertul exterior al Romaniei cu energie electrica,ZBW0712
Orizont 3 - Economic - Comertul exterior al Romaniei cu gaze naturale,ZBX0713
Orizont 3 - Mediu - Ponderea energiei regenerabile in consumul final brut de energie,ZBY0714
Orizont 3 - Mediu - Ponderea vehiculelor electrice in totalul parcului de vehicule,ZBZ0715
Orizont 4 - Mediu - Productia de bunuri si servicii pentru economisirea si gestionarea caldurii/energiei,ZCA0721
Orizont 5 - Mediu - Consumul de energie primara,ZCB0721
Orizont 1 - Economic - Rata anuala de crestere a PIB real pe cap de locuitor,ZCC0811
Orizont 1 - Economic - Venitul National Brut ca pondere in PIB,ZCD0812
Orizont 1 - Economic - Rata de crestere a productivitatii muncii pe persoana ocupata,ZCE0813
Orizont 2 - Economic - Ponderea investitiilor nete a IMM in totalul investitiilor nete,ZCF0821
Orizont 2 - Economic - Structura pe surse de finantare a investitiilor nete realizate de IMM,ZCG0822
"Orizont 3 - Social - Rata tinerilor neocupati care nu urmeaza nicio forma de educatie sau de instruire (15-24 ani), pe sexe",ZCH0821
"Orizont 3 - Social - Rata tinerilor neocupati care nu urmeaza nicio forma de educatie sau de instruire (15-24 ani), pe medii de rezidenta",ZCI0822
"Orizont 4 - Social - Persoane ocupate care lucreaza de acasa, ca procent din total populatie ocupata, pe sexe",ZCJ0821
Orizont 5 - Economic - Structuri de primire turistica cu functiuni de cazare turistica pe tipuri de structuri,ZCK0831
"Orizont 1 - Economic - Ponderea drumurilor judetene si comunale modernizate in totalul retelei de drumuri, pe regiuni de dezvoltare",ZCL0911
"Orizont 2 - Economic - Procent din PIB alocat pentru investitii, pe sectoare institutionale",ZCM0921
Orizont 2 - Economic - Resursele umane din stiinta si tehnologie ca pondere in populatia activa pentru grupa de varsta 25-64 de ani,ZCN0922
"Orizont 3 - Economic - Cheltuieli totale cu activitati de cercetare-dezvoltare, ca procent din PIB",ZCO0921
"Orizont 3 - Economic - Cifra de afaceri din inovare ca procent din cifra de afaceri totala, pe sectoare economice",ZCP0922
Orizont 1 - Social - Coeficientul Gini,ZCQ1011
"Orizont 1 - Social - Rata saraciei relative, pe grupe de varsta si  sexe",ZCR1012
"Orizont 1 - Social - Rata saraciei relative, pe regiuni de dezvoltare",ZCS1013
"Orizont 1 - Social - Diferentele de gen la nivelul ocuparii pe piata muncii, pe grad de urbanizare - populatie 20-64 de ani",ZCT1014
"Orizont 2 - Economic - Ponderea personalului care utilizeaza PC conectat la internet, pe domenii",ZCU1021
Orizont 3 - Mediu - Cheltuieli pentru protectia aerului si a climatului ca procent in PIB,ZCV1111
"Orizont 3 - Mediu - Investitii pentru protectia aerului si a climatului, ca procent in PIB",ZCW1112
Orizont 4 - Mediu - Productia de bunuri si servicii de mediu pentru protectia aerului inconjurator si a climatului,ZCX1111
"Orizont 4 - Mediu - Emisii de gaze cu efect de sera, pe activitati CAEN Rev.2",ZCY1112
Orizont 4 - Mediu - Decese cauzate de boli ale aparatului respirator si ale aparatului circulator,ZCZ1113
"Orizont 5 - Economic - Forta de munca din industriile turismului, dupa statutul ocupational si sexe",ZDA0832
Orizont 4 - Mediu - Emisiile medii de CO2/km care provin de la autoturisme noi,ZDC1116
Orizont 7 - Social - Rata de supraaglomerare dupa statutul de saracie,ZDD1121
Orizont 7 - Social - Rata deprivarii severe de locuire dupa statutul de saracie,ZDE1122
Orizont 7 - Economic  - Soldul balantei comerciale pe judete,ZDF1123
"Orizont 7 - Economic - Lungimea strazilor orasenesti modernizate, pe regiuni de dezvoltare",ZDG1124
Orizont 1 - Economic - Productivitatea resurselor naturale,ZDH1211
Orizont 1 - Economic - Dependenta materiala,ZDI1212
Orizont 2 - Economic - Soldul balantei comerciale,ZDJ1211
Orizont 2 - Mediu - Rata de reciclare a deseurilor municipale,ZDK1212
